"1","44100","Guadalajara Centro","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","3","Urbano","3"
"2","44110","Vallarta Poniente","16","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","5","Urbano","3"
"3","44130","Arcos Vallarta","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","7","Urbano","3"
"4","44130","Arcos","16","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","200","Urbano","3"
"5","44140","Obrera Centro","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","8","Urbano","3"
"6","44150","Barrera","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","10","Urbano","3"
"7","44150","Lafayette","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","4188","Urbano","3"
"8","44158","Deitz","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","11","Urbano","3"
"9","44160","Americana","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","13","Urbano","3"
"10","44170","San Antonio","3","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","14","Urbano","3"
"11","44180","Mexicaltzingo","3","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","16","Urbano","3"
"12","44190","Moderna","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","17","Urbano","3"
"13","44200","Artesanos","7","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","19","Urbano","3"
"14","44200","El Santuario","3","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","20","Urbano","3"
"15","44200","Capilla de Jesús","3","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","21","Urbano","3"
"16","44200","Sagrada Familia","3","Guadalajara","Jalisco","Guadalajara","44101","14","44101",,"14039","23","Urbano","3"
"17","44210","Jardines del Country","16","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","24","Urbano","3"
"18","44210","Jardines del Country 2a. Sección","16","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","4943","Urbano","3"
"19","44214","Universidad","36","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","26","Urbano","3"
"20","44215","Parían","8","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","28","Urbano","3"
"21","44216","Del Trabajo CTM","36","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","29","Urbano","3"
"22","44216","Fidel Velázquez","36","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","4921","Urbano","3"
"23","44217","Residencial Vallarta Country","9","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","30","Urbano","3"
"24","44218","Fabrica de Atemajac","16","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","31","Urbano","3"
"25","44219","Casa Hogar CTM","36","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","32","Urbano","3"
"26","44220","Circunvalación Metro Carballo","7","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","33","Urbano","3"
"27","44220","Guadalupana Sur","7","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","34","Urbano","3"
"28","44220","Santa Elena Alcalde Oriente","16","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","35","Urbano","3"
"29","44220","Santa Mónica","16","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","36","Urbano","3"
"30","44220","Santa Elena Alcalde Poniente","7","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","4920","Urbano","3"
"31","44220","Guadalupana Norte","7","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","4931","Urbano","3"
"32","44220","Simón Bolívar","36","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","5029","Urbano","3"
"33","44227","Jardines de Atemajac","7","Guadalajara","Jalisco","Guadalajara","44291","14","44291",,"14039","39","Urbano","3"
